recipe_name,scale,rep,T,pH,F1,F2,F3,Y,cost_eur,total_cost_eur,run_id
baseline,micro,0,30.0,6.5,1.0,1.0,1.0,0.12332114150425671,10,510,100958
baseline,micro,1,30.0,6.5,1.0,1.0,1.0,0.1358125972812313,10,520,100959
baseline,micro,2,30.0,6.5,1.0,1.0,1.0,0.16156511333931636,10,530,100960
baseline,micro,3,30.0,6.5,1.0,1.0,1.0,0.18743704907422976,10,540,100961
baseline,micro,4,30.0,6.5,1.0,1.0,1.0,0.13659099306429595,10,550,100962
baseline,micro,5,30.0,6.5,1.0,1.0,1.0,0.15114832411996054,10,560,100963
baseline,micro,6,30.0,6.5,1.0,1.0,1.0,0.130397768634719,10,570,100964
baseline,micro,7,30.0,6.5,1.0,1.0,1.0,0.13711898032471798,10,580,100965
baseline,micro,8,30.0,6.5,1.0,1.0,1.0,0.12722254682954753,10,590,100966
baseline,micro,9,30.0,6.5,1.0,1.0,1.0,0.12164461289132716,10,600,100967
baseline,bench,0,30.0,6.5,1.0,1.0,1.0,3.539526420144612,500,1100,100968
baseline,bench,1,30.0,6.5,1.0,1.0,1.0,3.494123016913773,500,1600,100969
baseline,pilot,0,30.0,6.5,1.0,1.0,1.0,1.4367409995136928,2000,3600,100970
hotspot,micro,0,35.5,6.5,1.0,1.0,1.0,0.18945069952126878,10,3610,100971
hotspot,micro,1,35.5,6.5,1.0,1.0,1.0,0.1955660913254458,10,3620,100972
hotspot,micro,2,35.5,6.5,1.0,1.0,1.0,0.16370699113715273,10,3630,100973
hotspot,micro,3,35.5,6.5,1.0,1.0,1.0,0.1831557272154766,10,3640,100974
hotspot,micro,4,35.5,6.5,1.0,1.0,1.0,0.16033818306358555,10,3650,100975
hotspot,micro,5,35.5,6.5,1.0,1.0,1.0,0.16540349484111347,10,3660,100976
hotspot,micro,6,35.5,6.5,1.0,1.0,1.0,0.16537196007183283,10,3670,100977
hotspot,micro,7,35.5,6.5,1.0,1.0,1.0,0.18352541132527114,10,3680,100978
hotspot,micro,8,35.5,6.5,1.0,1.0,1.0,0.16237530615509593,10,3690,100979
hotspot,micro,9,35.5,6.5,1.0,1.0,1.0,0.20263659092916295,10,3700,100980
hotspot,bench,0,35.5,6.5,1.0,1.0,1.0,5.3365835474454775,500,4200,100981
hotspot,bench,1,35.5,6.5,1.0,1.0,1.0,5.501033806770971,500,4700,100982
hotspot,pilot,0,35.5,6.5,1.0,1.0,1.0,2.3582346330158197,2000,6700,100983
